,N,T,Tnorm,custo
0,5.0,249056,0.17158289241622576,0.8579144620811288
1,5.0,114958,0.07919835758377425,0.39599178791887124
2,5.0,158891,0.10946525022045855,0.5473262511022927
3,5.0,205921,0.14186576829805997,0.7093288414902998
4,5.0,103910,0.07158702601410935,0.3579351300705467
5,5.0,180159,0.12411747685185186,0.6205873842592593
6,5.0,109500,0.07543816137566138,0.37719080687830686
7,5.0,105204,0.07247850529100529,0.36239252645502645
8,5.0,154089,0.10615699404761905,0.5307849702380952
9,5.0,144300,0.0994130291005291,0.4970651455026455
10,5.0,136342,0.09393050044091711,0.46965250220458554
11,5.0,181123,0.12478160824514992,0.6239080412257496
12,5.0,14025,0.009662285052910053,0.04831142526455026
13,5.0,298018,0.20531442901234567,1.0265721450617284
14,5.0,21497,0.014809992283950617,0.07404996141975309
15,5.0,249607,0.17196249448853615,0.8598124724426808
16,5.0,250002,0.17223462301587303,0.8611731150793651
17,5.0,587529,0.4047681051587302,2.0238405257936507
18,5.0,496388,0.3419780643738977,1.7098903218694885
19,5.0,63444,0.04370866402116402,0.21854332010582012
20,5.0,538413,0.3709304728835979,1.8546523644179893
21,5.0,386884,0.26653714726631395,1.3326857363315696
22,5.0,650792,0.44835207231040564,2.241760361552028
23,5.0,208266,0.14348131613756615,0.7174065806878307
24,5.0,731774,0.5041432429453263,2.5207162147266313
25,5.0,263635,0.181626846340388,0.9081342317019401
26,5.0,59070,0.04069527116402116,0.20347635582010581
27,5.0,805156,0.5546985229276896,2.7734926146384478
28,5.0,217874,0.15010058421516756,0.7505029210758377
29,5.0,380809,0.2623518794091711,1.3117593970458554
30,5.0,274570,0.18916032848324515,0.9458016424162258
31,5.0,359810,0.2478849757495591,1.2394248787477955
32,5.0,21610,0.014887841710758378,0.0744392085537919
33,5.0,21138,0.014562665343915343,0.07281332671957672
34,5.0,105557,0.07272169863315697,0.3636084931657848
35,5.0,358825,0.24720637676366844,1.2360318838183422
36,5.0,223711,0.1541218860229277,0.7706094301146384
37,5.0,1977373,1.3622774746472663,6.8113873732363315
38,5.0,110665,0.07624076829805997,0.38120384149029984
39,5.0,373708,0.25745976631393297,1.287298831569665
40,5.0,279590,0.19261877204585537,0.9630938602292769
41,5.0,46199,0.031828014770723105,0.15914007385361553
42,5.0,627203,0.43210083223104057,2.160504161155203
43,5.0,191369,0.1318404155643739,0.6592020778218695
44,5.0,441974,0.3044904651675485,1.5224523258377425
45,5.0,137251,0.09455674052028219,0.47278370260141095
46,5.0,46234,0.03185212742504409,0.15926063712522046
47,5.0,157653,0.10861235119047619,0.5430617559523809
48,5.0,67361,0.04640721450617284,0.2320360725308642
49,5.0,213973,0.14741305665784832,0.7370652832892416
50,5.0,51408,0.035416666666666666,0.17708333333333334
51,5.0,347051,0.23909487985008818,1.1954743992504409
52,5.0,306090,0.21087549603174602,1.0543774801587302
53,5.0,83955,0.05783936838624339,0.2891968419312169
54,5.0,464799,0.3202153604497355,1.6010768022486772
55,5.0,300605,0.20709669863315697,1.0354834931657848
56,5.0,161103,0.11098916997354498,0.5549458498677249
57,5.0,500659,0.34492049713403883,1.724602485670194
58,5.0,1205669,0.8306251377865961,4.15312568893298
59,5.0,554239,0.3818335262345679,1.9091676311728396
60,5.0,56500,0.03892471340388007,0.19462356701940034
61,5.0,2651,0.0018263613315696648,0.009131806657848324
62,5.0,86526,0.05961061507936508,0.2980530753968254
63,5.0,266348,0.18349592151675484,0.9174796075837742
64,5.0,212172,0.14617228835978835,0.7308614417989417
65,5.0,18643,0.012843777557319224,0.06421888778659612
66,5.0,390418,0.2689718364197531,1.3448591820987654
67,5.0,57280,0.03946208112874779,0.19731040564373897
68,5.0,32887,0.0226569389329806,0.113284694664903
69,5.0,198286,0.13660576499118166,0.6830288249559083
70,5.0,438929,0.3023926642416226,1.511963321208113
71,5.0,165367,0.11392678020282188,0.5696339010141094
72,5.0,219439,0.151178764329806,0.75589382164903
73,5.0,65501,0.04512579916225749,0.22562899581128748
74,5.0,1729,0.00119116512345679,0.005955825617283951
75,5.0,458112,0.3156084656084656,1.5780423280423281
76,5.0,402413,0.27723558752204586,1.3861779376102292
77,5.0,258410,0.17802717151675485,0.8901358575837742
78,5.0,121612,0.0837825176366843,0.41891258818342153
79,5.0,113775,0.07838334986772487,0.39191674933862436
80,5.0,15391,0.010603367504409171,0.053016837522045855
81,5.0,781005,0.5380601025132276,2.6903005125661377
82,5.0,167449,0.11536113866843034,0.5768056933421517
83,5.0,222954,0.15360036375661376,0.7680018187830688
84,5.0,45628,0.03143463403880071,0.15717317019400354
85,5.0,260946,0.17977430555555557,0.8988715277777778
86,5.0,387621,0.26704489087301586,1.3352244543650793
87,5.0,203254,0.14002838403880072,0.7001419201940036
88,5.0,37387,0.025757137345679013,0.12878568672839505
89,5.0,527442,0.36337218915343916,1.8168609457671958
90,5.0,252105,0.17368344907407407,0.8684172453703703
91,5.0,255796,0.17622630070546738,0.8811315035273368
92,5.0,556686,0.3835193452380952,1.9175967261904763
93,5.0,606475,0.4178206294091711,2.089103147045855
94,5.0,82097,0.05655933090828924,0.2827966545414462
95,5.0,103285,0.07115644290123457,0.35578221450617287
96,5.0,250312,0.1724481922398589,0.8622409611992945
97,5.0,10907,0.007514192019400353,0.03757096009700176
98,5.0,161245,0.11108699845679013,0.5554349922839507
99,5.0,215330,0.14834793871252205,0.7417396935626103
100,5.0,90046,0.06203565917107584,0.3101782958553792
101,5.0,274619,0.18919408619929454,0.9459704309964727
102,5.0,22578,0.015554728835978837,0.07777364417989419
103,5.0,43694,0.030102237654320987,0.15051118827160495
104,5.0,643853,0.4435715663580247,2.2178578317901234
105,5.0,227627,0.1568197475749559,0.7840987378747796
106,5.0,56796,0.03912863756613757,0.19564318783068782
107,5.0,103391,0.07122946979717813,0.3561473489858907
108,5.0,164086,0.11304425705467372,0.5652212852733686
109,5.0,162228,0.11176421957671957,0.5588210978835979
110,5.0,56344,0.038817239858906526,0.19408619929453264
111,5.0,20880,0.014384920634920634,0.07192460317460317
112,5.0,208359,0.1435453869047619,0.7177269345238095
113,5.0,499663,0.3442343198853616,1.7211715994268078
114,5.0,535852,0.36916611552028217,1.845830577601411
115,5.0,94285,0.06495604607583774,0.32478023037918874
116,5.0,368204,0.25366787918871253,1.2683393959435627
117,5.0,234939,0.16185722552910053,0.8092861276455027
118,5.0,836583,0.5763496197089947,2.8817480985449735
119,5.0,134152,0.09242173721340388,0.4621086860670194
120,5.0,219567,0.15126694775132274,0.7563347387566137
121,5.0,322137,0.22193080357142858,1.1096540178571428
122,5.0,697610,0.4806065365961199,2.4030326829805997
123,5.0,130543,0.08993537808641976,0.44967689043209874
124,5.0,945699,0.6515232308201058,3.2576161541005293
125,5.0,655948,0.45190421075837744,2.2595210537918873
126,5.0,324398,0.22348848104056437,1.1174424052028218
127,5.0,359538,0.24769758597883598,1.23848792989418
128,5.0,292126,0.20125523589065256,1.0062761794532629
129,5.0,87123,0.06002190806878307,0.30010954034391535
130,5.0,303841,0.2093260857583774,1.046630428791887
131,5.0,183095,0.1261401840828924,0.6307009204144621
132,5.0,521317,0.3591524746472663,1.7957623732363315
133,5.0,735,0.0005063657407407407,0.0025318287037037037
134,5.0,143773,0.09904996141975309,0.4952498070987654
135,5.0,302981,0.20873360339506172,1.0436680169753085
136,5.0,110237,0.07594590498236331,0.37972952491181655
137,5.0,1630,0.001122960758377425,0.005614803791887125
138,5.0,33330,0.022962136243386243,0.11481068121693122
139,5.0,932085,0.6421440972222222,3.210720486111111
140,5.0,158200,0.1089891975308642,0.544945987654321
141,5.0,811523,0.5590849592151675,2.795424796075838
142,5.0,204287,0.14074005180776014,0.7037002590388007
143,5.0,636708,0.4386491402116402,2.193245701058201
144,5.0,1426879,0.9830240024250441,4.915120012125221
145,5.0,560086,0.38586171737213404,1.9293085868606703
146,5.0,38846,0.0267622905643739,0.1338114528218695
147,5.0,428636,0.2953014770723104,1.476507385361552
148,5.0,502029,0.3458643353174603,1.7293216765873016
149,5.0,150198,0.10347635582010582,0.5173817791005291
150,5.0,18787,0.012942983906525573,0.06471491953262787
151,5.0,202848,0.13974867724867726,0.6987433862433863
152,5.0,644748,0.44418816137566136,2.220940806878307
153,5.0,58524,0.040319113756613754,0.20159556878306878
154,5.0,5518,0.003801532186948854,0.019007660934744267
155,5.0,334439,0.23040605709876544,1.1520302854938271
156,5.0,76732,0.05286320546737214,0.26431602733686066
157,5.0,13567,0.009346753747795415,0.04673376873897707
158,5.0,161055,0.11095610119047619,0.5547805059523809
159,5.0,611756,0.4214588844797178,2.107294422398589
160,5.0,80733,0.055619626322751324,0.2780981316137566
161,5.0,1000964,0.6895971119929454,3.4479855599647267
162,5.0,242421,0.16701182208994708,0.8350591104497355
163,5.0,319062,0.21981233465608466,1.0990616732804233
164,5.0,169006,0.11643380731922398,0.58216903659612
165,5.0,400491,0.27591145833333336,1.3795572916666667
166,5.0,78227,0.05389316027336861,0.26946580136684306
167,5.0,67331,0.04638654651675485,0.23193273258377425
168,5.0,344921,0.23762745260141094,1.1881372630070546
169,5.0,86247,0.059418402777777775,0.2970920138888889
170,5.0,28021,0.019304591049382716,0.09652295524691358
171,5.0,54210,0.037347056878306875,0.1867352843915344
172,5.0,1105888,0.7618827160493827,3.809413580246914
173,5.0,219166,0.1509906856261023,0.7549534281305115
174,5.0,335872,0.23139329805996472,1.1569664902998236
175,5.0,518503,0.3572138172398589,1.7860690861992945
176,5.0,202223,0.13931809413580246,0.6965904706790124
177,5.0,211313,0.14558049492945327,0.7279024746472663
178,5.0,514683,0.3545820932539683,1.7729104662698412
179,5.0,51320,0.0353560405643739,0.1767802028218695
180,5.0,246981,0.17015335648148147,0.8507667824074074
181,5.0,307732,0.21200672398589065,1.0600336199294533
182,5.0,217974,0.1501694775132275,0.7508473875661376
183,5.0,205284,0.14142691798941798,0.70713458994709
184,5.0,226778,0.15623484347442682,0.781174217372134
185,5.0,77143,0.05314635692239859,0.2657317846119929
186,5.0,113503,0.07819596009700176,0.3909798004850088
187,5.0,91418,0.06298087522045856,0.31490437610229277
188,5.0,100815,0.06945477843915344,0.3472738921957672
189,5.0,70637,0.048664158950617285,0.24332079475308643
190,5.0,32850,0.022631448412698412,0.11315724206349206
191,5.0,890446,0.6134576168430335,3.0672880842151677
192,5.0,83087,0.057241374559082896,0.28620687279541446
193,5.0,275302,0.18966462742504409,0.9483231371252204
194,5.0,133002,0.09162946428571428,0.45814732142857145
195,5.0,100315,0.06911031194885361,0.3455515597442681
196,5.0,20356,0.014023919753086419,0.0701195987654321
197,5.0,587075,0.4044553295855379,2.0222766479276895
198,5.0,373283,0.2571669697971781,1.2858348489858906
199,5.0,60912,0.04196428571428571,0.20982142857142858
200,5.0,2022221,1.3931747409611992,6.965873704805997
201,5.0,329999,0.227347194664903,1.136735973324515
202,5.0,63495,0.0437437996031746,0.21871899801587302
203,5.0,10781,0.007427386463844797,0.037136932319223985
204,5.0,74393,0.051251791225749556,0.2562589561287478
205,5.0,32537,0.022415812389770723,0.11207906194885361
206,5.0,155815,0.10734609237213404,0.5367304618606702
207,5.0,109387,0.07536031194885362,0.3768015597442681
208,5.0,287238,0.19788773148148148,0.9894386574074074
209,5.0,847964,0.5841903659611993,2.9209518298059964
210,5.0,168665,0.11619888117283951,0.5809944058641975
211,5.0,86518,0.05960510361552028,0.2980255180776014
212,5.0,236729,0.1630904155643739,0.8154520778218695
213,5.0,441375,0.3040777943121693,1.5203889715608465
214,5.0,324645,0.2236586474867725,1.1182932374338623
215,5.0,78330,0.05396412037037037,0.26982060185185186
216,5.0,1414003,0.9741533013668431,4.870766506834215
217,5.0,541160,0.37282297178130513,1.8641148589065255
218,5.0,31687,0.021830219356261022,0.10915109678130512
