,N,T,Tnorm,custo
0,20.0,5445,0.0037512400793650795,0.07502480158730158
1,20.0,292293,0.2013702876984127,4.027405753968254
2,20.0,51959,0.03579626873897707,0.7159253747795414
3,20.0,160272,0.11041666666666666,2.2083333333333335
4,20.0,8876,0.006114969135802469,0.12229938271604938
5,20.0,69248,0.047707231040564374,0.9541446208112875
6,20.0,27032,0.018623236331569665,0.3724647266313933
7,20.0,203795,0.1404010967813051,2.8080219356261025
8,20.0,34473,0.02374958664021164,0.4749917328042328
9,20.0,26306,0.01812307098765432,0.36246141975308643
10,20.0,68971,0.04751639660493827,0.9503279320987654
11,20.0,10799,0.007439787257495591,0.1487957451499118
12,20.0,74188,0.05111055996472663,1.0222111992945326
13,20.0,184664,0.12722111992945326,2.5444223985890653
14,20.0,21428,0.014762455908289241,0.2952491181657848
15,20.0,343598,0.2367159942680776,4.734319885361552
16,20.0,238132,0.1640569885361552,3.281139770723104
17,20.0,7794,0.005369543650793651,0.10739087301587301
18,20.0,4726,0.003255897266313933,0.06511794532627865
19,20.0,40642,0.027999614197530866,0.5599922839506173
20,20.0,81085,0.0558621307319224,1.117242614638448
21,20.0,53521,0.03687238205467372,0.7374476410934744
22,20.0,433255,0.29848365850970016,5.969673170194003
23,20.0,80994,0.05579943783068783,1.1159887566137565
24,20.0,77632,0.05348324514991182,1.0696649029982364
25,20.0,43065,0.029668898809523808,0.5933779761904762
26,20.0,167809,0.11560915454144621,2.312183090828924
27,20.0,75640,0.05211089065255732,1.0422178130511464
28,20.0,362440,0.24969686948853614,4.993937389770723
29,20.0,11247,0.007748429232804233,0.15496858465608465
30,20.0,7654,0.0052730930335097,0.105461860670194
31,20.0,57427,0.039563354276895946,0.7912670855379189
32,20.0,10509,0.007239996693121693,0.14479993386243387
33,20.0,66437,0.04577064043209877,0.9154128086419753
34,20.0,63991,0.044085510361552026,0.8817102072310405
35,20.0,60011,0.04134355709876543,0.8268711419753086
36,20.0,45071,0.0310508983686067,0.621017967372134
37,20.0,148556,0.1023451278659612,2.046902557319224
38,20.0,19057,0.013128995811287477,0.26257991622574955
39,20.0,293092,0.20192074514991182,4.038414902998237
40,20.0,123833,0.08531263778659612,1.7062527557319225
41,20.0,66702,0.04595320767195767,0.9190641534391535
42,20.0,74672,0.051444003527336864,1.0288800705467371
43,20.0,135718,0.09350060626102293,1.8700121252204585
44,20.0,91158,0.06280175264550264,1.256035052910053
45,20.0,17325,0.011935763888888888,0.2387152777777778
46,20.0,17676,0.012177579365079365,0.2435515873015873
47,20.0,58720,0.04045414462081129,0.8090828924162258
48,20.0,67937,0.04680403990299824,0.9360807980599647
49,20.0,27478,0.018930500440917108,0.37861000881834217
50,20.0,220056,0.15160383597883598,3.0320767195767195
51,20.0,41815,0.02880773258377425,0.576154651675485
52,20.0,16835,0.011598186728395061,0.23196373456790123
53,20.0,62991,0.04339657738095238,0.8679315476190477
54,20.0,37631,0.025925236992945327,0.5185047398589065
55,20.0,59788,0.04118992504409171,0.8237985008818343
56,20.0,11234,0.007739473104056437,0.15478946208112876
57,20.0,54985,0.03788097993827161,0.7576195987654321
58,20.0,252955,0.1742690421075838,3.4853808421516757
59,20.0,293750,0.20237406305114639,4.047481261022928
60,20.0,46414,0.03197613536155203,0.6395227072310405
61,20.0,113392,0.0781194885361552,1.562389770723104
62,20.0,24805,0.01708898258377425,0.341779651675485
63,20.0,223541,0.15400476741622576,3.080095348324515
64,20.0,154009,0.10610187940917108,2.1220375881834217
65,20.0,36856,0.0253913139329806,0.5078262786596119
66,20.0,194220,0.1338045634920635,2.6760912698412698
67,20.0,43538,0.02999476410934744,0.5998952821869489
68,20.0,2363,0.0016279486331569665,0.03255897266313933
69,20.0,10850,0.007474922839506173,0.14949845679012347
70,20.0,104410,0.07193149250440917,1.4386298500881833
71,20.0,283995,0.19565352182539683,3.9130704365079363
72,20.0,179181,0.1234437003968254,2.468874007936508
73,20.0,74127,0.05106853505291005,1.0213707010582012
74,20.0,245343,0.16902488425925927,3.380497685185185
75,20.0,9148,0.0063023589065255734,0.12604717813051147
76,20.0,82366,0.05674465388007054,1.134893077601411
77,20.0,9551,0.006579998897707231,0.13159997795414463
78,20.0,20864,0.014373897707231041,0.2874779541446208
79,20.0,316207,0.21784543099647266,4.356908619929453
80,20.0,25891,0.017837163800705467,0.3567432760141093
81,20.0,10175,0.007009893077601411,0.1401978615520282
82,20.0,18406,0.012680500440917107,0.25361000881834217
83,20.0,59738,0.04115547839506173,0.8231095679012346
84,20.0,25694,0.01770144400352734,0.3540288800705467
85,20.0,175358,0.12080990961199295,2.4161981922398588
86,20.0,38743,0.026691330467372133,0.5338266093474426
87,20.0,37970,0.026158785273368606,0.5231757054673721
88,20.0,210301,0.14488329475308642,2.8976658950617282
89,20.0,152517,0.1050739914021164,2.101479828042328
90,20.0,11510,0.00792961860670194,0.1585923721340388
91,20.0,16260,0.011202050264550265,0.2240410052910053
92,20.0,65963,0.045444086199294534,0.9088817239858906
93,20.0,236199,0.1627252810846561,3.254505621693122
94,20.0,7638,0.005262070105820106,0.10524140211640212
95,20.0,9193,0.0063333608906525575,0.12666721781305115
96,20.0,16257,0.011199983465608465,0.2239996693121693
97,20.0,28958,0.019950121252204585,0.3990024250440917
98,20.0,7211,0.004967895723104057,0.09935791446208113
99,20.0,139138,0.09585675705467372,1.9171351410934745
100,20.0,136522,0.09405450837742504,1.8810901675485008
101,20.0,125417,0.08640390762786596,1.7280781525573192
102,20.0,24812,0.017093805114638448,0.34187610229276894
103,20.0,16834,0.011597497795414462,0.23194995590828923
104,20.0,190629,0.13133060515873016,2.6266121031746033
105,20.0,48921,0.033703290343915344,0.6740658068783069
106,20.0,548,0.0003775352733686067,0.007550705467372134
107,20.0,49198,0.03389412477954144,0.6778824955908289
108,20.0,90587,0.06240837191358025,1.248167438271605
