N,T,Tnorm,custo
10,178544.0,0.12300485008818342,1.2300485008818343
10,12603.0,0.008682622354497354,0.08682622354497355
10,215110.0,0.14819637345679013,1.4819637345679013
10,31791.0,0.021901868386243386,0.21901868386243387
10,71965.0,0.049579061948853614,0.49579061948853614
10,8262.0,0.0056919642857142854,0.056919642857142856
10,45019.0,0.03101507385361552,0.3101507385361552
10,405143.0,0.2791163745590829,2.791163745590829
10,6138.0,0.004228670634920635,0.04228670634920635
10,30466.0,0.020989032186948853,0.20989032186948853
10,55839.0,0.038469328703703703,0.38469328703703703
10,89211.0,0.061460400132275134,0.6146040013227513
10,12219.0,0.00841807208994709,0.0841807208994709
10,229978.0,0.15843942901234567,1.584394290123457
10,34877.0,0.0240279155643739,0.24027915564373897
10,163465.0,0.11261642967372135,1.1261642967372134
10,23721.0,0.016342179232804233,0.16342179232804233
10,110826.0,0.07635168650793651,0.7635168650793651
10,55550.0,0.038270227072310405,0.38270227072310403
10,27739.0,0.019110311948853615,0.19110311948853614
10,405715.0,0.2795104442239859,2.7951044422398588
10,116835.0,0.08049148478835978,0.8049148478835979
10,67819.0,0.04672274581128748,0.4672274581128748
10,680569.0,0.46886642967372133,4.688664296737214
10,108260.0,0.07458388447971781,0.7458388447971781
10,24393.0,0.016805142195767196,0.16805142195767195
10,392975.0,0.27073343805114636,2.707334380511464
10,65483.0,0.0451133983686067,0.451133983686067
10,193092.0,0.1330274470899471,1.330274470899471
10,971.0,0.0006689539241622575,0.006689539241622575
10,39445.0,0.027174961419753087,0.27174961419753085
10,467239.0,0.3218963569223986,3.2189635692239857
10,86412.0,0.05953207671957672,0.5953207671957672
10,78038.0,0.053762951940035275,0.5376295194003528
10,452023.0,0.31141355268959436,3.1141355268959434
10,233645.0,0.16096574625220458,1.609657462522046
10,30301.0,0.02087535824514991,0.2087535824514991
10,204505.0,0.14089023919753085,1.4089023919753085
10,199214.0,0.13724509479717814,1.3724509479717812
10,39304.0,0.027077821869488535,0.2707782186948854
10,145557.0,0.10027901785714285,1.0027901785714286
10,80087.0,0.05517457561728395,0.5517457561728395
10,453609.0,0.3125062003968254,3.125062003968254
10,297193.0,0.20474605930335096,2.04746059303351
10,105607.0,0.07275614528218695,0.7275614528218695
10,409370.0,0.2820284942680776,2.820284942680776
10,28318.0,0.01950920414462081,0.19509204144620812
10,229052.0,0.1578014770723104,1.578014770723104
10,293067.0,0.20190352182539684,2.0190352182539684
10,8431.0,0.005808393959435626,0.05808393959435626
10,195603.0,0.1347573578042328,1.3475735780423281
10,365930.0,0.2521012455908289,2.521012455908289
10,51242.0,0.035302303791887125,0.35302303791887124
10,172789.0,0.11904004078483245,1.1904004078483246
10,99805.0,0.0687589561287478,0.687589561287478
